Code,Area,Resident Population (2007) - Denominator,Number of Admission Continuous Inpatient Spells - Numerator,Expected value,"Indirectly age and sex standardised rate per 100,000",Lower limit of 95% confidence interval,"Upper limit 
of 95% confidence interval",Lower limit of 99.8% confidence interval,"Upper limit 
of 99.8% confidence interval"
,,,,,,,,,
E09000001,City of London,7607,449,628.19,6306.85,5736.88,6918.12,5426.84,7281.97
E09000002,Barking and Dagenham,169031,15898,14198.95,9879.65,9726.67,10034.45,9639.29,10124.19
E09000003,Barnet,334837,17207,28651.89,5299.16,5220.28,5378.94,5175.2,5425.19
E09000004,Bexley,224625,15929,19717.17,7128.52,7018.24,7240.1,6955.25,7304.79
E09000005,Brent,283273,21295,22490.23,8354.86,8243.02,8467.84,8179.05,8533.3
E09000006,Bromley,302625,22366,27351.58,7215.41,7121.16,7310.61,7067.24,7365.75
E09000007,Camden,211520,16414,16679.57,8683.3,8550.96,8817.18,8475.37,8894.79
E09000008,Croydon,344029,25258,28335.58,7865.43,7768.72,7963.04,7713.38,8019.57
E09000009,Ealing,318671,27463,25415.95,9534.48,9422.05,9647.93,9357.68,9713.61
E09000010,Enfield,291534,15086,24308.29,5476.15,5389.11,5564.24,5339.4,5615.33
E09000011,Greenwich,236535,17635,19217.27,8097.28,7978.21,8217.69,7910.16,8287.48
E09000012,Hackney,224480,7067,16831.21,3704.89,3619.01,3792.29,3570.19,3843.11
E09000013,Hammersmith and Fulham,176472,15765,13643.93,10195.53,10036.99,10355.95,9946.44,10448.96
E09000014,Haringey,236793,17149,18015.81,8399.25,8274,8525.92,8202.44,8599.35
E09000015,Harrow,226355,15225,19134.35,7021,6909.91,7133.43,6846.48,7198.62
E09000016,Havering,229789,18462,20771.05,7842.88,7730.15,7956.85,7665.72,8022.9
E09000017,Hillingdon,256981,21639,21494.91,8882.94,8764.98,9002.1,8697.51,9071.14
E09000018,Hounslow,233454,18600,18547.31,8848.86,8722.14,8976.96,8649.72,9051.2
E09000019,Islington,188636,15929,14411.37,9753.01,9602.13,9905.67,9515.95,9994.17
E09000020,Kensington and Chelsea,162883,10758,13305.13,7134.57,7000.38,7270.69,6923.9,7349.7
E09000021,Kingston upon Thames,154485,9526,12998.71,6466.45,6337.24,6597.63,6263.64,6673.81
E09000022,Lambeth,284964,22229,21410.22,9161.24,9041.19,9282.48,8972.53,9352.71
E09000023,Lewisham,261188,22713,20519.07,9767.25,9640.63,9895.11,9568.2,9969.18
E09000024,Merton,194260,12066,16006.26,6651.64,6533.48,6771.41,6466.08,6840.9
E09000025,Newham,266285,13768,19954.86,6088.04,5986.77,6190.6,5928.96,6250.09
E09000026,Redbridge,259965,21025,21596.59,8590.26,8474.53,8707.17,8408.35,8774.91
E09000027,Richmond upon Thames,182421,11391,15482.5,6491.97,6373.29,6612.3,6305.62,6682.14
E09000028,Southwark,272626,22849,20876.57,9657.47,9532.65,9783.52,9461.24,9856.54
E09000029,Sutton,184174,8291,15790.25,4633.12,4533.92,4733.94,4477.47,4792.52
E09000030,Tower Hamlets,225251,19525,16568.01,10398.63,10253.28,10545.53,10170.18,10630.66
E09000031,Waltham Forest,235665,19204,18852.58,8988.27,8861.59,9116.32,8789.18,9190.52
E09000032,Wandsworth,291440,19781,22722.64,7681.48,7574.8,7789.29,7513.81,7851.76
E09000033,Westminster,220619,15710,17597.87,7877.19,7754.49,8001.35,7684.41,8073.34
,,,,,,,,,
E13000001,Inner London,3030764,220106,233164.46,8329.62,8294.85,8364.49,8274.86,8384.63
E13000002,Outer London,4662709,333566,390361.43,7539.98,7514.42,7565.61,7499.7,7580.41
,,,,,,,,,
E12000001,North East,2562045,289607,226451.56,11284.68,11243.62,11325.85,11219.99,11349.63
E12000002,North West,6929277,756230,606869.73,10995.47,10970.7,11020.28,10956.44,11034.6
E12000003,Yorkshire and the Humber,5164138,494325,453960.44,9608.38,9581.61,9635.2,9566.2,9650.68
E12000004,East Midlands,4404774,378407,388249.57,8600.1,8572.72,8627.55,8556.96,8643.39
E12000005,West Midlands,5451924,466413,480197.26,8570.5,8545.93,8595.14,8531.78,8609.36
E12000006,East of England,5653534,413588,506631.09,7203.3,7181.36,7225.29,7168.74,7237.98
E12000007,London,7693473,553672,623525.89,7835.26,7814.64,7855.93,7802.76,7867.86
E12000008,South East,8351391,621769,748241.1,7332.35,7314.13,7350.59,7303.64,7361.13
E12000009,South West,5170537,417290,483268.15,7619.13,7596.03,7642.28,7582.73,7655.65
,,,,,,,,,
,,,,,,,,,
E92000001,England,51381093,4391301,4517394.78,8577.5,8569.48,8585.52,8564.85,8590.15
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
