Code,Area,Resident Population (2008) - Denominator,Number of Admission Continuous Inpatient Spells - Numerator,Expected value,"Indirectly age and sex standardised rate per 100,000",Lower limit of 95% confidence interval,"Upper limit 
of 95% confidence interval",Lower limit of 99.8% confidence interval,"Upper limit 
of 99.8% confidence interval"
,,,,,,,,,
E09000001,City of London,7429,296,619.93,4213.1,3746.74,4721.46,3496.58,5026.23
E09000002,Barking and Dagenham,172452,16077,14398.92,9852.14,9700.43,10005.63,9613.77,10094.62
E09000003,Barnet,339212,15805,29038.42,4802.61,4728.02,4878.07,4685.42,4921.83
E09000004,Bexley,226652,16445,19984.28,7261.07,7150.51,7372.92,7087.36,7437.75
E09000005,Brent,290901,22546,23005.34,8647.61,8535.1,8761.24,8470.74,8827.07
E09000006,Bromley,304968,23754,27583.93,7598.64,7502.31,7695.9,7447.2,7752.23
E09000007,Camden,210273,13153,16647.03,6971.78,6853.13,7091.96,6785.43,7161.68
E09000008,Croydon,349308,27673,28803.29,8477.53,8377.94,8578.02,8320.93,8636.2
E09000009,Ealing,324022,30419,25919.14,10355.71,10239.65,10472.75,10173.19,10540.5
E09000010,Enfield,297443,14411,24776.06,5132.36,5048.9,5216.86,5001.26,5265.86
E09000011,Greenwich,239748,15335,19420.6,6967.49,6857.65,7078.66,6794.92,7143.12
E09000012,Hackney,231041,5706,17186.37,2929.56,2854.04,3006.58,2811.18,3051.4
E09000013,Hammersmith and Fulham,177088,15334,13652.76,9910.38,9754.14,10068.51,9664.91,10160.2
E09000014,Haringey,244459,16793,18523.07,7999.65,7879.11,8121.57,7810.24,8192.25
E09000015,Harrow,229567,16132,19469.03,7311.38,7198.98,7425.09,7134.79,7491.02
E09000016,Havering,231793,18412,21083.56,7705.71,7594.8,7817.83,7531.41,7882.81
E09000017,Hillingdon,261051,23177,21866.13,9352.78,9232.75,9473.98,9164.09,9544.19
E09000018,Hounslow,237907,20363,18974.86,9469.32,9339.69,9600.29,9265.58,9676.17
E09000019,Islington,192089,15378,14632.2,9273.55,9127.55,9421.3,9044.17,9506.97
E09000020,Kensington and Chelsea,162579,10973,13276.86,7292.65,7156.83,7430.4,7079.41,7510.36
E09000021,Kingston upon Thames,156027,8876,13102.48,5977.5,5853.78,6103.17,5783.35,6176.17
E09000022,Lambeth,289126,23021,21668.15,9374.71,9254,9496.61,9184.94,9567.22
E09000023,Lewisham,266508,22636,20926.36,9544.68,9420.74,9669.84,9349.84,9742.35
E09000024,Merton,195859,12550,16122.17,6868.72,6749.06,6989.96,6680.8,7060.3
E09000025,Newham,276478,12262,20641.67,5241.7,5149.32,5335.31,5096.64,5389.63
E09000026,Redbridge,265452,22090,22001.13,8859.44,8742.98,8977.05,8676.38,9045.19
E09000027,Richmond upon Thames,182927,11487,15597.45,6498.43,6380.13,6618.38,6312.67,6687.99
E09000028,Southwark,276973,23585,21130.73,9848.65,9723.36,9975.16,9651.67,10048.44
E09000029,Sutton,185860,9049,15928.42,5012.83,4910.07,5117.2,4851.57,5177.82
E09000030,Tower Hamlets,231893,6455,16954.81,3359.38,3277.92,3442.35,3231.65,3490.6
E09000031,Waltham Forest,242098,19919,19273.82,9119.17,8992.96,9246.7,8920.8,9320.6
E09000032,Wandsworth,294305,20652,22863.57,7970.28,7861.94,8079.74,7799.99,8143.16
E09000033,Westminster,218673,16024,17482.85,8087.5,7962.75,8213.71,7891.5,8286.88
,,,,,,,,,
E13000001,Inner London,3078914,202268,236206.35,7555.98,7523.09,7588.99,7504.17,7608.05
E13000002,Outer London,4733247,344520,396349.02,7669.94,7644.35,7695.6,7629.63,7710.41
,,,,,,,,,
E12000001,North East,2569312,306744,228241.12,11858.71,11816.78,11900.76,11792.66,11925.03
E12000002,North West,6958547,771315,612056.7,11119.76,11094.96,11144.61,11080.68,11158.95
E12000003,Yorkshire and the Humber,5198675,518969,458648.37,9984.29,9957.14,10011.49,9941.51,10027.19
E12000004,East Midlands,4441125,400081,393387.55,8973.93,8946.15,9001.78,8930.15,9017.86
E12000005,West Midlands,5496240,501388,486154.07,9100.29,9075.12,9125.52,9060.63,9140.08
E12000006,East of England,5708350,438062,514266.48,7516.28,7494.04,7538.57,7481.23,7551.44
E12000007,London,7812161,546788,632555.37,7627.39,7607.18,7647.63,7595.55,7659.32
E12000008,South East,8426399,652271,758019.8,7592.82,7574.4,7611.27,7563.8,7621.91
E12000009,South West,5205044,436507,488795.54,7879.88,7856.52,7903.29,7843.07,7916.8
,,,,,,,,,
,,,,,,,,,
E92000001,England,51815853,4572125,4572125,8823.8,8815.71,8831.89,8811.05,8836.56
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
