NRMM/Agriculture/Other-ALL,CO2_TA,Methane_TA,SO2_TA,NOx_TA,NO2_TA,NMVOC_TA,CO_TA,HC_TA,Benzene_TA,Butadiene_TA,PM_TA,PM10_TA,PM25_TA,N2O_TA,Lead_TA,NH3_TA
Enfield,14470.7,16.1,5.8,172.3,,86.5,619.7,,2.7,0.7,27.3,24.7,19.3,21.4,,18.6
Barnet,7159.5,7.9,2.5,74.9,,81.9,521.4,,2.8,0.6,22.8,19.7,16.3,6.5,,16.1
Waltham Forest,4005.1,2.2,1.5,47.1,,35.2,209.9,,0.9,0.2,8.6,8.0,6.4,1.7,,2.9
Harrow,5236.3,4.4,1.8,56.2,,56.6,368.5,,1.9,0.5,14.2,12.5,10.6,2.5,,7.0
Redbridge,3422.0,2.9,1.2,35.5,,44.3,252.8,,1.3,0.3,10.7,9.8,8.1,8.7,,8.4
Havering,16441.1,25482.5,6.7,192.4,,1175.5,707.9,,13.0,2.6,34.1,30.1,23.4,41.5,,122.4
Hillingdon,15111.9,20643.6,5.9,173.7,,990.1,768.5,,11.6,2.3,34.9,30.0,23.9,14.0,,102.3
Brent,28937.2,6.5,11.8,360.8,,110.9,1007.8,,4.0,1.2,48.5,43.3,32.6,12.3,,3.6
Haringey,3602.5,1.8,1.4,42.6,,25.4,186.8,,0.8,0.2,8.0,7.5,5.9,1.4,,1.9
Barking and Dagenham,12004.5,14.0,4.9,147.7,,52.3,460.6,,1.9,0.5,20.6,18.8,14.4,8.4,,6.8
Hackney,12504.9,2.5,5.2,158.1,,42.5,393.4,,1.4,0.4,19.7,17.8,13.1,5.3,,1.2
Camden,31666.9,5.5,13.2,401.3,,103.1,958.1,,3.4,1.1,48.4,43.2,31.7,13.6,,1.8
Islington,59149.6,8.7,24.7,751.3,,179.5,1743.1,,6.2,2.0,90.2,80.4,58.5,25.4,,0.7
Newham,55588.1,31.8,23.2,704.6,,176.1,1682.8,,6.0,1.9,84.7,76.0,55.6,28.9,,9.5
Ealing,18646.4,6.5,7.5,227.3,,88.9,753.4,,3.2,0.9,33.5,29.9,23.2,7.7,,7.1
Tower Hamlets,128340.1,18.3,53.7,1630.2,,387.7,3765.9,,13.3,4.3,195.3,174.5,126.7,55.1,,1.4
Hammersmith and Fulham,22268.0,3.9,9.3,282.2,,70.6,677.3,,2.4,0.8,34.3,30.8,22.5,9.5,,1.1
City of Westminster,26935.1,4.9,11.3,341.7,,84.4,808.5,,2.8,0.9,40.4,36.2,26.5,11.6,,2.1
Kensington and Chelsea,10230.9,2.0,4.3,129.7,,33.3,315.4,,1.1,0.4,15.3,13.9,10.2,4.4,,0.5
Southwark,30609.8,5.4,12.7,386.0,,104.2,972.1,,3.6,1.1,48.4,43.3,32.1,13.0,,1.3
Greenwich,26971.7,16.6,11.0,335.0,,113.4,958.6,,3.8,1.1,45.8,41.0,31.0,13.8,,7.6
Bexley,11071.7,1610.6,4.3,129.6,,143.3,550.6,,3.2,0.8,21.8,19.8,16.1,15.6,,21.3
Hounslow,15836.7,22.1,6.3,191.3,,78.9,660.6,,2.9,0.8,31.0,27.2,21.1,10.0,,15.3
Richmond,5589.4,13.4,2.1,61.4,,58.4,337.8,,1.7,0.4,15.0,12.8,10.5,3.9,,15.2
Lewisham,4249.3,2.2,1.5,47.5,,35.5,275.6,,1.4,0.3,11.6,10.5,8.6,1.6,,1.9
Wandsworth,25579.5,5.4,10.5,320.5,,96.9,855.1,,3.3,1.0,42.4,37.9,28.2,10.8,,2.7
Lambeth,14807.4,3.2,6.0,184.4,,58.3,531.5,,2.1,0.6,25.7,23.1,17.4,6.2,,0.7
Kingston,2118.6,2.0,0.7,20.3,,33.2,191.6,,1.1,0.2,7.8,7.0,5.9,3.3,,5.4
Merton,7005.5,2.7,2.7,81.9,,47.8,355.6,,1.7,0.4,15.1,13.6,10.9,2.7,,3.9
Bromley,8081.7,8.2,3.0,78.5,,137.4,609.9,,3.3,0.7,26.8,23.4,19.5,36.0,,35.1
Croydon,26814.3,7.8,10.7,325.6,,153.4,1091.4,,4.7,1.3,51.7,46.0,35.5,14.4,,10.8
Sutton,4944.0,15970.7,1.8,53.7,,714.0,335.7,,7.9,1.5,13.7,12.2,10.2,5.6,,65.3
City,65796.8,9.1,27.5,836.2,,196.5,1915.1,,6.7,2.2,99.9,88.6,64.4,28.3,,0.6
NonGLA,63610.6,31026.5,26.3,696.2,,2116.6,3099.0,,26.7,5.8,184.8,133.4,102.5,269.5,,503.1
Total LAEI,788807.7,94971.9,323.0,9677.6,,7912.7,28942.1,,155.1,39.8,1433.0,1246.9,942.9,714.8,,1005.0
Total ALL,788807.7,94971.9,323.0,9677.6,,7912.7,28942.1,,155.1,39.8,1433.0,1246.9,942.9,714.8,,1005.0
