,,2015,,,,,,,,,
Road - All Sources,Mode,CO2,NOx,PM10 Exhaust,PM10 Brake,PM10 Tyre,PM10_Total,PM25 Exhaust,PM25 Brake,PM25 Tyre,PM25_Total
Newham,Taxi,7466.0,26.7,1.2,1.2,0.3,2.7,1.1,0.5,0.2,1.8
Newham,PetrolCar,60139.9,36.5,0.8,12.8,3.1,16.7,0.7,5.1,2.2,7.9
Newham,DieselCar,51671.5,169.4,4.0,12.3,3.0,19.3,3.6,4.9,2.1,10.6
Newham,PetrolLgv,657.3,1.2,0.0,0.2,0.0,0.2,0.0,0.1,0.0,0.1
Newham,DieselLgv,18003.6,61.4,2.0,5.0,1.2,8.2,1.8,2.0,0.9,4.6
Newham,LTBus,12220.4,68.9,0.5,2.6,0.3,3.4,0.4,1.0,0.2,1.7
Newham,Coach,4318.0,30.1,0.3,0.7,0.1,1.0,0.2,0.3,0.0,0.5
Newham,Rigid,20545.5,98.6,0.7,5.4,0.7,6.9,0.6,2.2,0.5,3.3
Newham,Artic,8282.7,26.3,0.2,1.2,0.4,1.7,0.2,0.5,0.3,0.9
Ealing Total,All Modes,279019.0,763.6,14.1,65.3,14.2,93.5,12.6,26.0,9.9,48.5
Ealing,Motorcycle,2351.2,2.5,0.2,0.4,0.1,0.7,0.2,0.2,0.1,0.4
Ealing,Taxi,5579.4,20.4,0.9,0.9,0.2,2.1,0.8,0.4,0.2,1.4
Ealing,PetrolCar,98353.2,59.9,1.3,21.6,5.1,28.0,1.1,8.6,3.6,13.2
Ealing,DieselCar,84908.9,279.9,6.5,20.8,4.9,32.2,5.8,8.3,3.4,17.5
Ealing,PetrolLgv,1002.5,1.7,0.0,0.2,0.1,0.3,0.0,0.1,0.0,0.1
Ealing,DieselLgv,27199.0,93.6,3.0,7.8,1.9,12.7,2.7,3.1,1.3,7.1
Ealing,LTBus,15157.3,85.0,0.6,3.3,0.4,4.2,0.5,1.3,0.2,2.1
Ealing,Coach,5348.6,37.2,0.3,0.8,0.1,1.2,0.3,0.3,0.1,0.7
Ealing,Rigid,27929.3,143.3,1.0,7.8,1.0,9.8,0.9,3.1,0.7,4.7
Ealing,Artic,11189.5,40.0,0.3,1.6,0.5,2.3,0.3,0.6,0.3,1.2
Tower Hamlets Total,All Modes,168705.5,504.3,9.5,39.5,8.1,57.1,8.5,15.7,5.6,29.8
Tower Hamlets,Motorcycle,3208.5,3.0,0.3,0.6,0.1,1.0,0.2,0.2,0.1,0.5
Tower Hamlets,Taxi,7792.9,28.2,1.4,1.3,0.3,3.0,1.2,0.5,0.2,2.0
Tower Hamlets,PetrolCar,51407.7,30.8,0.6,11.3,2.6,14.5,0.5,4.5,1.8,6.8
Tower Hamlets,DieselCar,44007.0,145.1,3.4,10.8,2.5,16.7,3.0,4.3,1.7,9.1
Tower Hamlets,PetrolLgv,736.9,1.1,0.0,0.2,0.0,0.2,0.0,0.1,0.0,0.1
Tower Hamlets,DieselLgv,19640.1,66.4,2.1,5.7,1.3,9.1,1.9,2.3,0.9,5.1
Tower Hamlets,LTBus,10716.3,60.8,0.4,2.2,0.2,2.8,0.4,0.9,0.2,1.4
Tower Hamlets,Coach,3792.1,26.6,0.2,0.5,0.1,0.8,0.2,0.2,0.0,0.5
Tower Hamlets,Rigid,21516.7,118.4,0.8,6.1,0.8,7.7,0.8,2.4,0.5,3.7
Tower Hamlets,Artic,5887.4,23.8,0.2,0.9,0.2,1.3,0.2,0.3,0.2,0.7
Hammersmith and Fulham Total,All Modes,112310.7,333.8,6.3,25.5,5.2,37.0,5.6,10.2,3.6,19.4
Hammersmith and Fulham,Motorcycle,2701.7,2.5,0.2,0.5,0.1,0.8,0.2,0.2,0.1,0.4
Hammersmith and Fulham,Taxi,4597.6,16.8,0.8,0.8,0.2,1.8,0.7,0.3,0.1,1.2
Hammersmith and Fulham,PetrolCar,35678.5,21.3,0.4,7.6,1.7,9.8,0.4,3.0,1.2,4.6
Hammersmith and Fulham,DieselCar,30426.5,101.4,2.4,7.3,1.6,11.3,2.1,2.9,1.2,6.2
Hammersmith and Fulham,PetrolLgv,492.7,0.7,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1
Hammersmith and Fulham,DieselLgv,13067.2,43.7,1.4,3.7,0.8,5.9,1.3,1.5,0.6,3.3
Hammersmith and Fulham,LTBus,10384.0,59.9,0.4,2.0,0.2,2.7,0.4,0.8,0.2,1.3
Hammersmith and Fulham,Coach,3678.5,26.4,0.2,0.5,0.1,0.8,0.2,0.2,0.0,0.4
Hammersmith and Fulham,Rigid,9200.0,52.3,0.4,2.7,0.3,3.4,0.3,1.1,0.2,1.6
Hammersmith and Fulham,Artic,2083.9,8.9,0.1,0.3,0.1,0.5,0.1,0.1,0.1,0.2
City of Westminster Total,All Modes,271517.9,907.9,21.1,51.8,10.0,82.9,18.9,20.6,7.0,46.5
City of Westminster,Motorcycle,6339.4,5.4,0.5,1.0,0.2,1.7,0.4,0.4,0.1,1.0
City of Westminster,Taxi,40931.2,134.0,7.9,5.7,1.3,14.9,7.1,2.3,0.9,10.3
City of Westminster,PetrolCar,62687.0,36.4,0.7,12.0,2.7,15.4,0.6,4.8,1.9,7.2
City of Westminster,DieselCar,51851.4,174.1,4.5,11.5,2.5,18.6,4.1,4.6,1.8,10.4
City of Westminster,PetrolLgv,1063.1,1.4,0.0,0.2,0.0,0.3,0.0,0.1,0.0,0.1
City of Westminster,DieselLgv,27741.8,90.4,3.7,6.9,1.5,12.1,3.3,2.7,1.1,7.1
City of Westminster,LTBus,40917.6,222.0,1.7,6.5,0.7,9.0,1.6,2.6,0.5,4.7
City of Westminster,Coach,14171.9,98.4,0.9,1.6,0.2,2.8,0.8,0.7,0.1,1.6
City of Westminster,Rigid,20650.8,122.3,0.9,5.5,0.7,7.1,0.8,2.2,0.5,3.5
City of Westminster,Artic,5163.7,23.6,0.2,0.7,0.2,1.1,0.2,0.3,0.1,0.6
Kensington and Chelsea Total,All Modes,120178.4,378.6,8.3,23.8,4.8,36.9,7.4,9.5,3.3,20.2
Kensington and Chelsea,Motorcycle,2752.7,2.4,0.2,0.4,0.1,0.8,0.2,0.2,0.1,0.4
Kensington and Chelsea,Taxi,14746.5,49.9,2.8,2.0,0.5,5.3,2.5,0.8,0.3,3.6
Kensington and Chelsea,PetrolCar,32418.7,18.4,0.4,6.2,1.4,8.0,0.3,2.5,1.0,3.8
Kensington and Chelsea,DieselCar,27043.7,89.9,2.1,6.0,1.3,9.4,1.9,2.4,0.9,5.2
Kensington and Chelsea,PetrolLgv,515.0,0.7,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1
Kensington and Chelsea,DieselLgv,13539.2,43.7,1.5,3.4,0.8,5.7,1.4,1.4,0.5,3.3
Kensington and Chelsea,LTBus,13127.8,75.8,0.6,2.3,0.2,3.1,0.5,0.9,0.2,1.6
Kensington and Chelsea,Coach,4626.0,33.6,0.3,0.6,0.1,0.9,0.3,0.2,0.0,0.5
Kensington and Chelsea,Rigid,9306.6,54.7,0.4,2.5,0.3,3.2,0.4,1.0,0.2,1.6
Kensington and Chelsea,Artic,2102.0,9.6,0.1,0.3,0.1,0.4,0.1,0.1,0.1,0.2
Southwark Total,All Modes,174126.0,567.8,10.0,39.1,7.5,56.6,8.9,15.5,5.3,29.8
Southwark,Motorcycle,3644.7,3.1,0.3,0.6,0.1,1.0,0.3,0.2,0.1,0.6
Southwark,Taxi,7937.4,28.6,1.5,1.3,0.3,3.0,1.3,0.5,0.2,2.0
Southwark,PetrolCar,49709.2,29.6,0.6,10.7,2.3,13.6,0.5,4.3,1.6,6.4
Southwark,DieselCar,42498.9,142.9,3.2,10.3,2.3,15.7,2.9,4.1,1.6,8.5
Southwark,PetrolLgv,728.3,1.0,0.0,0.2,0.0,0.2,0.0,0.1,0.0,0.1
Southwark,DieselLgv,19115.2,65.5,2.2,5.4,1.2,8.8,2.0,2.1,0.8,5.0
Southwark,LTBus,20714.9,119.9,0.8,4.0,0.4,5.2,0.8,1.6,0.3,2.6
Southwark,Coach,7358.5,52.8,0.5,1.0,0.1,1.6,0.4,0.4,0.1,0.9
Southwark,Rigid,17240.9,101.7,0.7,4.9,0.6,6.2,0.7,2.0,0.4,3.0
Southwark,Artic,5178.1,22.8,0.2,0.7,0.2,1.1,0.1,0.3,0.1,0.6
Greenwich Total,All Modes,211047.8,582.6,11.0,49.8,11.0,71.7,9.8,19.8,7.7,37.3
Greenwich,Motorcycle,2868.4,3.4,0.3,0.5,0.1,0.9,0.2,0.2,0.1,0.5
Greenwich,Taxi,5519.6,20.3,0.9,0.9,0.2,2.0,0.8,0.4,0.2,1.3
Greenwich,PetrolCar,69309.9,42.8,0.9,15.7,3.7,20.3,0.8,6.3,2.6,9.6
Greenwich,DieselCar,60238.9,198.1,4.6,15.1,3.6,23.3,4.1,6.0,2.5,12.6
Greenwich,PetrolLgv,969.3,1.7,0.0,0.2,0.1,0.3,0.0,0.1,0.0,0.1
Greenwich,DieselLgv,26620.3,89.3,2.6,7.5,1.9,12.0,2.4,3.0,1.3,6.7
Greenwich,LTBus,13855.9,75.9,0.5,3.2,0.3,4.0,0.5,1.3,0.2,2.0
Greenwich,Coach,4860.2,33.0,0.3,0.8,0.1,1.2,0.2,0.3,0.1,0.6
Greenwich,Rigid,18233.6,89.7,0.6,4.6,0.6,5.9,0.6,1.9,0.4,2.9
Greenwich,Artic,8571.8,28.3,0.2,1.2,0.4,1.8,0.2,0.5,0.3,0.9
Bexley Total,All Modes,181813.7,477.0,9.5,40.5,9.6,59.6,8.5,16.1,6.7,31.3
Bexley,Motorcycle,1535.7,2.2,0.2,0.2,0.1,0.5,0.1,0.1,0.0,0.3
Bexley,Taxi,2443.8,8.8,0.4,0.4,0.1,0.8,0.3,0.1,0.1,0.6
Bexley,PetrolCar,63556.4,40.5,0.9,13.7,3.4,18.0,0.8,5.4,2.4,8.6
Bexley,DieselCar,55291.1,184.8,4.6,13.1,3.3,21.0,4.1,5.2,2.3,11.7
Bexley,PetrolLgv,777.6,1.5,0.0,0.2,0.0,0.2,0.0,0.1,0.0,0.1
Bexley,DieselLgv,22020.2,73.6,2.2,5.6,1.5,9.3,2.0,2.2,1.1,5.3
Bexley,LTBus,9988.5,53.0,0.4,2.3,0.3,2.9,0.3,0.9,0.2,1.4
Bexley,Coach,3469.5,23.0,0.2,0.6,0.1,0.8,0.2,0.2,0.0,0.4
Bexley,Rigid,13893.8,62.8,0.5,3.3,0.5,4.3,0.4,1.3,0.3,2.1
Bexley,Artic,8837.0,26.8,0.2,1.2,0.4,1.8,0.2,0.5,0.3,0.9
Hounslow Total,All Modes,282437.2,745.8,14.6,64.3,14.6,93.4,13.0,25.6,10.2,48.8
Hounslow,Motorcycle,2467.7,3.0,0.2,0.4,0.1,0.8,0.2,0.2,0.1,0.4
Hounslow,Taxi,10159.8,36.4,1.6,1.5,0.4,3.5,1.5,0.6,0.3,2.3
Hounslow,PetrolCar,102865.6,63.1,1.4,22.2,5.4,29.1,1.2,8.8,3.8,13.8
Hounslow,DieselCar,89261.4,296.1,6.8,21.3,5.2,33.3,6.1,8.5,3.6,18.2
Hounslow,PetrolLgv,943.2,1.7,0.0,0.2,0.1,0.3,0.0,0.1,0.0,0.1
Hounslow,DieselLgv,26129.8,88.5,2.6,7.2,1.8,11.6,2.4,2.9,1.2,6.5
Hounslow,LTBus,14553.7,79.4,0.5,3.2,0.4,4.1,0.5,1.3,0.2,2.0
Hounslow,Coach,5118.9,34.5,0.3,0.8,0.1,1.2,0.3,0.3,0.1,0.6
Hounslow,Rigid,22721.5,114.6,0.8,6.3,0.8,8.0,0.7,2.5,0.6,3.8
Hounslow,Artic,8215.6,28.5,0.2,1.1,0.3,1.7,0.2,0.5,0.2,0.9
Richmond Total,All Modes,160752.8,431.6,8.2,40.1,8.2,56.5,7.3,16.0,5.8,29.0
Richmond,Motorcycle,1854.0,1.7,0.2,0.4,0.1,0.6,0.1,0.1,0.0,0.3
Richmond,Taxi,2770.0,10.3,0.5,0.5,0.1,1.1,0.4,0.2,0.1,0.7
Richmond,PetrolCar,60289.5,37.3,0.7,14.1,3.1,17.9,0.6,5.6,2.2,8.4
Richmond,DieselCar,52154.1,173.8,4.1,13.5,3.0,20.6,3.7,5.4,2.1,11.2
Richmond,PetrolLgv,569.9,0.9,0.0,0.1,0.0,0.2,0.0,0.1,0.0,0.1
Richmond,DieselLgv,15147.4,52.4,1.6,4.7,1.0,7.4,1.5,1.9,0.7,4.1
Richmond,LTBus,10377.0,58.6,0.4,2.4,0.3,3.0,0.4,0.9,0.2,1.5
Richmond,Coach,3688.7,25.6,0.2,0.6,0.1,0.9,0.2,0.2,0.0,0.5
Richmond,Rigid,10748.1,58.8,0.4,3.3,0.4,4.2,0.4,1.3,0.3,2.0
Richmond,Artic,3154.2,12.3,0.1,0.5,0.1,0.7,0.1,0.2,0.1,0.4
Lewisham Total,All Modes,162117.4,495.7,8.4,38.5,7.6,54.5,7.5,15.3,5.3,28.1
Lewisham,Motorcycle,2304.1,2.0,0.2,0.4,0.1,0.7,0.2,0.2,0.1,0.4
Lewisham,Taxi,4432.6,16.8,0.8,0.8,0.2,1.7,0.7,0.3,0.1,1.1
Lewisham,PetrolCar,51950.5,31.5,0.6,11.7,2.6,14.9,0.5,4.7,1.8,7.0
Lewisham,DieselCar,44903.4,151.0,3.3,11.3,2.5,17.0,3.0,4.5,1.7,9.2
Lewisham,PetrolLgv,648.3,0.9,0.0,0.2,0.0,0.2,0.0,0.1,0.0,0.1
Lewisham,DieselLgv,17101.0,58.8,1.8,5.1,1.1,8.0,1.6,2.0,0.8,4.4
Lewisham,LTBus,14330.2,83.5,0.6,3.0,0.3,3.9,0.5,1.2,0.2,1.9
Lewisham,Coach,5125.2,36.5,0.3,0.8,0.1,1.1,0.3,0.3,0.1,0.6
Lewisham,Rigid,15604.4,90.1,0.6,4.5,0.5,5.6,0.6,1.8,0.4,2.7
Lewisham,Artic,5717.7,24.6,0.2,0.8,0.2,1.2,0.2,0.3,0.2,0.6
Wandsworth Total,All Modes,176150.8,512.1,9.4,41.0,8.3,58.6,8.4,16.3,5.8,30.5
Wandsworth,Motorcycle,3656.1,3.3,0.3,0.7,0.1,1.1,0.3,0.3,0.1,0.6
Wandsworth,Taxi,4802.4,17.7,0.9,0.8,0.2,1.9,0.8,0.3,0.1,1.2
Wandsworth,PetrolCar,58918.4,35.2,0.7,12.8,2.8,16.4,0.6,5.1,2.0,7.7
Wandsworth,DieselCar,50485.7,168.5,3.8,12.3,2.7,18.8,3.4,4.9,1.9,10.2
Wandsworth,PetrolLgv,745.9,1.1,0.0,0.2,0.0,0.2,0.0,0.1,0.0,0.1
Wandsworth,DieselLgv,19691.9,67.0,2.1,5.7,1.3,9.1,1.9,2.3,0.9,5.0
Wandsworth,LTBus,13449.1,77.5,0.5,2.7,0.3,3.6,0.5,1.1,0.2,1.8
Wandsworth,Coach,4783.5,34.0,0.3,0.7,0.1,1.0,0.3,0.3,0.1,0.6
Wandsworth,Rigid,15580.6,90.2,0.6,4.5,0.6,5.7,0.6,1.8,0.4,2.8
Wandsworth,Artic,4037.0,17.6,0.1,0.6,0.2,0.9,0.1,0.2,0.1,0.4
Lambeth Total,All Modes,173689.3,552.7,9.8,39.7,7.7,57.2,8.7,15.8,5.4,29.9
Lambeth,Motorcycle,3973.0,3.4,0.3,0.7,0.1,1.2,0.3,0.3,0.1,0.7
Lambeth,Taxi,7219.2,26.3,1.3,1.2,0.3,2.8,1.2,0.5,0.2,1.9
Lambeth,PetrolCar,51190.0,30.6,0.6,11.2,2.4,14.2,0.5,4.4,1.7,6.7
Lambeth,DieselCar,43848.7,147.2,3.3,10.7,2.3,16.4,3.0,4.3,1.6,8.9
Lambeth,PetrolLgv,732.6,1.0,0.0,0.2,0.0,0.2,0.0,0.1,0.0,0.1
Lambeth,DieselLgv,19264.4,65.7,2.1,5.5,1.2,8.9,1.9,2.2,0.9,5.0
Lambeth,LTBus,20570.2,118.1,0.8,4.1,0.4,5.4,0.7,1.6,0.3,2.7
Lambeth,Coach,7303.0,51.9,0.5,1.0,0.1,1.6,0.4,0.4,0.1,0.9
Lambeth,Rigid,15308.1,89.7,0.6,4.5,0.5,5.7,0.6,1.8,0.4,2.7
Lambeth,Artic,4280.0,18.8,0.1,0.6,0.2,0.9,0.1,0.2,0.1,0.5
Kingston Total,All Modes,160355.1,402.5,8.1,35.8,8.4,52.3,7.2,14.2,5.9,27.3
