NRMM/Agriculture/Other-ALL,CO2_TA,Methane_TA,SO2_TA,NOx_TA,NO2_TA,NMVOC_TA,CO_TA,HC_TA,Benzene_TA,Butadiene_TA,PM_TA,PM10_TA,PM25_TA,N2O_TA,Lead_TA,NH3_TA
Enfield,12155.0,15.1,4.0,135.8,,74.4,613.2,,2.2,0.6,24.2,21.8,17.1,20.1,,19.9
Barnet,6284.3,7.6,1.8,60.0,,69.1,524.3,,2.0,0.5,21.7,18.6,15.4,6.1,,10.3
Waltham Forest,3374.7,2.1,1.1,37.2,,31.0,208.4,,0.7,0.2,7.9,7.3,5.9,1.4,,0.8
Harrow,4538.3,4.2,1.3,44.8,,47.6,369.6,,1.4,0.3,13.5,11.8,10.0,2.2,,3.5
Redbridge,3030.6,2.8,0.9,28.5,,38.4,254.6,,0.9,0.2,10.3,9.4,7.7,8.6,,9.5
Havering,13958.6,23703.3,4.7,151.8,,1086.9,703.0,,11.7,2.3,30.7,26.8,20.8,40.1,,111.6
Hillingdon,12862.3,19202.5,4.1,137.4,,913.1,765.5,,10.2,2.0,31.9,27.3,21.8,12.8,,75.0
Brent,23753.1,6.2,8.1,282.6,,93.5,983.9,,3.4,1.0,40.6,36.0,27.1,9.8,,1.6
Haringey,3026.2,1.7,1.0,33.6,,21.6,185.4,,0.6,0.2,7.2,6.7,5.4,1.1,,0.4
Barking and Dagenham,9914.7,14.6,3.3,115.9,,43.9,452.0,,1.6,0.4,17.7,16.0,12.3,7.6,,5.6
Hackney,10217.4,2.4,3.6,123.7,,36.5,381.9,,1.3,0.4,16.2,14.6,10.7,4.3,,0.3
Camden,25833.7,5.1,9.0,313.8,,88.6,928.2,,3.1,0.9,39.3,35.0,25.5,10.8,,0.8
Islington,48194.4,8.0,16.9,587.3,,153.4,1686.0,,5.6,1.7,72.9,64.5,46.8,20.2,,0.4
Newham,45339.9,32.8,15.9,551.0,,150.6,1630.3,,5.4,1.6,68.8,61.4,44.8,24.4,,8.8
Ealing,15449.0,6.2,5.1,178.5,,74.5,741.1,,2.6,0.7,29.0,25.7,20.1,6.2,,2.9
Tower Hamlets,104563.9,16.9,36.7,1274.2,,331.4,3641.9,,12.2,3.7,157.9,139.3,100.9,43.8,,0.9
Hammersmith and Fulham,18166.6,3.7,6.3,220.7,,60.3,656.3,,2.2,0.7,28.0,24.9,18.2,7.6,,0.5
City of Westminster,21969.4,4.6,7.7,267.2,,72.4,783.0,,2.6,0.8,32.8,29.3,21.3,9.2,,0.9
Kensington and Chelsea,8347.3,1.9,2.9,101.4,,28.5,305.8,,1.0,0.3,12.5,11.3,8.3,3.5,,0.2
Southwark,25013.7,5.0,8.7,302.0,,88.7,944.2,,3.2,0.9,39.7,35.4,26.1,10.4,,0.4
Greenwich,22176.3,17.0,7.5,262.6,,96.5,937.1,,3.2,0.9,38.4,34.2,25.9,11.7,,4.9
Bexley,9324.0,1498.3,2.9,102.2,,126.9,546.6,,2.6,0.6,19.7,17.8,14.5,14.3,,19.4
Hounslow,13182.0,18.5,4.3,150.4,,66.0,651.4,,2.3,0.6,27.0,23.6,18.3,8.0,,8.1
Richmond,4838.8,11.6,1.5,48.8,,50.6,338.4,,1.3,0.3,14.1,12.0,9.8,3.2,,7.0
Lewisham,3625.4,2.1,1.0,37.8,,29.1,275.3,,1.0,0.2,10.7,9.7,8.0,1.3,,0.4
Wandsworth,20957.5,5.1,7.2,251.0,,82.6,833.1,,2.8,0.8,35.2,31.3,23.3,8.6,,1.1
Lambeth,12157.4,3.0,4.1,144.5,,49.0,519.4,,1.8,0.5,21.5,19.3,14.6,4.9,,0.2
Kingston,1913.0,2.0,0.5,16.5,,28.3,193.6,,0.7,0.2,7.6,6.7,5.7,3.2,,4.0
Merton,5896.2,2.6,1.8,64.7,,40.1,353.1,,1.3,0.3,13.5,12.1,9.8,2.2,,0.9
Bromley,7358.0,8.2,2.1,63.4,,122.3,617.8,,2.3,0.5,26.2,22.7,18.9,35.7,,42.7
Croydon,22257.6,7.5,7.4,255.8,,132.3,1074.5,,3.8,1.0,44.5,39.5,30.6,12.2,,6.5
Sutton,4269.4,14855.2,1.2,42.8,,659.1,336.3,,7.0,1.3,12.8,11.4,9.5,5.0,,49.3
City,53594.3,8.4,18.8,653.5,,168.0,1851.3,,6.2,1.9,80.3,70.7,51.1,22.5,,0.4
NonGLA,55908.5,28873.7,18.8,554.0,,1960.9,3114.7,,22.2,4.8,176.1,125.3,95.8,266.5,,534.5
Total LAEI,653451.5,88360.1,222.3,7595.3,,7115.8,28401.3,,132.5,33.4,1230.3,1059.7,802.2,649.4,,934.3
Total ALL,653451.5,88360.1,222.3,7595.3,,7115.8,28401.3,,132.5,33.4,1230.3,1059.7,802.2,649.4,,934.3
