NRMM/Agriculture/Other-ALL,CO2_TA,Methane_TA,SO2_TA,NOx_TA,NO2_TA,NMVOC_TA,CO_TA,HC_TA,Benzene_TA,Butadiene_TA,PM_TA,PM10_TA,PM25_TA,N2O_TA,Lead_TA,NH3_TA
Enfield,8339.0,15.6,2.7,88.8,,63.2,490.3,,1.8,0.4,21.9,18.8,14.5,18.8,,20.2
Barnet,5003.0,7.4,1.2,42.3,,68.7,519.7,,2.0,0.5,29.0,21.9,16.4,5.5,,10.1
Waltham Forest,2355.7,2.0,0.7,24.4,,28.3,179.8,,0.6,0.2,9.4,7.7,5.6,0.9,,0.8
Harrow,3391.7,4.0,0.8,30.4,,44.5,337.0,,1.3,0.3,14.0,11.6,9.4,1.7,,3.5
Redbridge,2398.9,2.7,0.6,20.4,,37.1,240.5,,0.9,0.2,12.8,10.4,7.9,8.3,,9.4
Havering,10369.2,26408.5,3.2,102.8,,1198.6,680.9,,12.8,2.4,36.3,28.5,21.1,38.5,,119.7
Hillingdon,9068.4,21393.2,2.8,91.2,,992.8,631.9,,10.6,2.0,28.2,23.4,18.7,11.3,,81.4
Brent,15283.5,4.9,5.1,178.2,,68.8,712.9,,2.5,0.7,30.5,26.4,20.0,6.2,,1.6
Haringey,2093.5,1.6,0.6,21.9,,19.2,159.0,,0.6,0.1,10.0,7.7,5.3,0.7,,0.4
Barking and Dagenham,6660.3,15.4,2.1,74.2,,37.3,378.5,,1.4,0.4,23.2,17.4,11.8,6.4,,6.0
Hackney,6448.2,1.8,2.2,77.6,,24.9,254.3,,0.8,0.2,11.4,10.2,7.4,2.7,,0.3
Camden,16200.8,3.7,5.7,196.3,,58.6,597.3,,2.0,0.6,24.0,22.0,16.4,6.8,,0.7
Islington,30104.2,5.2,10.5,366.6,,96.9,1063.5,,3.5,1.1,41.4,38.5,28.8,12.6,,0.3
Newham,28518.8,33.0,9.9,344.8,,99.9,1070.8,,3.6,1.1,60.5,48.1,32.1,17.9,,9.6
Ealing,10191.3,5.3,3.2,113.9,,58.9,570.2,,2.1,0.5,26.7,22.0,16.4,4.0,,2.8
Tower Hamlets,65369.9,10.8,22.9,795.5,,210.2,2305.0,,7.7,2.3,93.2,84.7,62.9,27.4,,0.6
Hammersmith and Fulham,11396.4,2.6,4.0,138.0,,39.2,424.2,,1.4,0.4,18.0,16.2,11.9,4.7,,0.5
City of Westminster,13769.7,3.4,4.8,167.2,,46.8,501.1,,1.6,0.5,19.8,18.3,13.7,5.8,,0.8
Kensington and Chelsea,5238.2,1.4,1.8,63.5,,18.9,199.3,,0.7,0.2,8.3,7.5,5.5,2.2,,0.2
Southwark,15794.1,3.6,5.4,189.3,,60.4,632.6,,2.1,0.6,26.5,23.7,17.7,6.5,,0.3
Greenwich,14550.3,17.2,4.7,166.6,,78.0,732.0,,2.6,0.7,32.3,27.4,20.7,8.7,,5.3
Bexley,6453.5,1668.5,1.9,66.7,,125.8,457.6,,2.3,0.5,19.0,16.2,12.8,13.7,,20.7
Hounslow,8787.4,19.2,2.8,96.5,,52.6,504.6,,1.8,0.5,22.3,18.9,14.7,6.4,,8.5
Richmond,3590.3,12.1,1.0,33.4,,47.2,300.1,,1.1,0.3,14.6,11.7,9.2,2.8,,7.2
Lewisham,2628.9,1.9,0.7,25.1,,26.9,251.3,,1.0,0.2,11.7,9.7,7.6,0.8,,0.4
Wandsworth,13341.1,3.9,4.5,157.8,,59.3,576.6,,2.0,0.6,24.9,21.9,16.4,5.4,,1.0
Lambeth,7800.8,2.4,2.6,91.0,,35.9,375.4,,1.3,0.4,16.6,14.4,10.8,3.1,,0.2
Kingston,1576.3,1.9,0.4,12.1,,27.7,186.7,,0.7,0.2,8.9,7.3,5.8,3.1,,4.0
Merton,4043.5,2.3,1.2,42.0,,34.3,289.9,,1.1,0.3,11.5,10.2,8.2,1.4,,0.9
Bromley,6148.7,8.0,1.7,48.0,,119.5,588.1,,2.3,0.5,29.1,23.7,18.7,35.1,,42.5
Croydon,14773.2,6.3,4.7,163.6,,110.3,833.3,,3.0,0.8,34.0,30.0,23.8,9.1,,6.4
Sutton,3149.7,16551.0,0.8,28.8,,727.1,302.4,,7.6,1.4,12.5,10.8,8.8,4.7,,54.5
City,33437.7,5.3,11.7,407.7,,104.9,1156.0,,3.9,1.2,42.2,40.2,30.7,14.0,,0.3
NonGLA,43657.2,32149.9,14.2,396.7,,2073.7,2841.6,,22.8,4.7,171.4,118.4,90.3,261.2,,539.7
Total LAEI,431933.3,98376.1,143.3,4863.3,,6896.3,21344.4,,113.6,26.8,996.0,825.9,622.0,558.3,,961.0
Total ALL,431933.3,98376.1,143.3,4863.3,,6896.3,21344.4,,113.6,26.8,996.0,825.9,622.0,558.3,,961.0
