Code,Area,Resident Population (2014) - Denominator,Number of Admission Continuous Inpatient Spells - Numerator,Expected value,"Indirectly age and sex standardised rate per 100,000",Lower limit of 95% confidence interval,"Upper limit 
of 95% confidence interval",Lower limit of 99.8% confidence interval,"Upper limit 
of 99.8% confidence interval"
,,,,,,,,,
E09000001,City of London,8072,356,725.49,4501.58,4046.03,4994.37,3800.06,5288.82
E09000002,Barking and Dagenham,198294,16019,16392.11,8964.89,8826.59,9104.81,8747.6,9185.93
E09000003,Barnet,374915,24493,33178.08,6772.28,6687.73,6857.64,6639.35,6907.07
E09000004,Bexley,239865,19131,22255.7,7885.71,7774.36,7998.26,7710.7,8063.48
E09000005,Brent,320762,25077,26548.4,8665.26,8558.33,8773.18,8497.15,8835.69
E09000006,Bromley,321278,27018,30443.97,8141.35,8044.55,8239.01,7989.15,8295.57
E09000007,Camden,234846,15680,19392.58,7417.45,7301.8,7534.48,7235.75,7602.33
E09000008,Croydon,376040,28091,32459.49,7939.07,7846.5,8032.47,7793.5,8086.54
E09000009,Ealing,342118,31166,28685.62,9966.92,9856.57,10078.21,9793.37,10142.62
E09000010,Enfield,324574,25954,27943.05,8520.69,8417.34,8625,8358.19,8685.4
E09000011,Greenwich,268678,18336,22046.55,7629.72,7519.67,7740.96,7456.78,7805.44
E09000012,Hackney,263150,6971,19980.65,3200.59,3125.89,3276.62,3083.43,3320.83
E09000013,Hammersmith and Fulham,178365,14789,14302.7,9485.6,9333.33,9639.74,9246.39,9729.12
E09000014,Haringey,267541,21200,20986.03,9267.23,9142.9,9392.83,9071.79,9465.6
E09000015,Harrow,246011,19305,22065.81,8025.91,7913.09,8139.94,7848.59,8206.02
E09000016,Havering,245974,20965,23772.08,8090.44,7981.29,8200.71,7918.87,8264.6
E09000017,Hillingdon,292690,27385,25399.15,9890.95,9774.14,10008.8,9707.28,10077.04
E09000018,Hounslow,265568,23614,21982.27,9854.65,9729.36,9981.16,9657.67,10054.44
E09000019,Islington,221030,17008,17226.25,9057.47,8921.85,9194.63,8844.37,9274.15
E09000020,Kensington and Chelsea,156190,10618,13449.81,7242.21,7105.1,7381.3,7026.96,7462.03
E09000021,Kingston upon Thames,169958,10396,14796.67,6445.35,6322.04,6570.46,6251.77,6643.09
E09000022,Lambeth,318216,22588,24386.61,8497.1,8386.64,8608.65,8323.46,8673.26
E09000023,Lewisham,291933,23459,23480.97,9165.11,9048.2,9283.16,8981.31,9351.53
E09000024,Merton,203515,12686,17372.9,6698.79,6582.72,6816.4,6516.51,6884.63
E09000025,Newham,324322,9266,24558.21,3461.31,3391.18,3532.51,3351.25,3573.87
E09000026,Redbridge,293055,23201,25030.55,8503.17,8394.1,8613.3,8331.7,8677.09
E09000027,Richmond upon Thames,193585,12866,17319.52,6814.78,6697.53,6933.58,6630.63,7002.49
E09000028,Southwark,302538,23285,23469.12,9101.73,8985.19,9219.4,8918.52,9287.56
E09000029,Sutton,198134,17986,17838.3,9249.65,9114.96,9385.84,9037.98,9464.77
E09000030,Tower Hamlets,284015,6992,20976.98,3057.76,2986.5,3130.28,2946,3172.45
E09000031,Waltham Forest,268020,22909,21990.51,9556.86,9433.5,9681.43,9362.93,9753.59
E09000032,Wandsworth,312145,16504,25035.37,6047.55,5955.63,6140.53,5903.12,6194.43
E09000033,Westminster,233292,15517,19326.31,7365.51,7250.07,7482.33,7184.14,7550.07
,,,,,,,,,
E13000001,Inner London,3395655,204233,267297.08,7009.32,6978.95,7039.79,6961.49,7057.38
E13000002,Outer London,5143034,406598,447520.72,8334.82,8309.22,8360.48,8294.49,8375.29
,,,,,,,,,
E12000001,North East,2618710,311168,247795.98,11519.8,11479.36,11560.35,11456.09,11583.76
E12000002,North West,7132991,846830,666186.75,11661.23,11636.41,11686.1,11622.11,11700.45
E12000003,Yorkshire and the Humber,5360027,549593,500538.39,10072.75,10046.14,10099.42,10030.82,10114.81
E12000004,East Midlands,4637413,448566,437275.96,9410.55,9383.03,9438.13,9367.19,9454.05
E12000005,West Midlands,5713284,590475,536540.06,10095.87,10070.13,10121.65,10055.32,10136.53
E12000006,East of England,6018383,552982,577336.96,8786.7,8763.56,8809.89,8750.23,8823.28
E12000007,London,8538689,610831,714817.8,7839.17,7819.52,7858.85,7808.21,7870.21
E12000008,South East,8873818,715584,846961.49,7750.71,7732.76,7768.69,7722.42,7779.06
E12000009,South West,5423303,505560,541106.58,8571.05,8547.44,8594.71,8533.85,8608.37
,,,,,,,,,
,,,,,,,,,
E92000001,England,54316618,5131589,5068559.96,9287.77,9279.74,9295.81,9275.11,9300.45
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
