Code,Area,Resident Population (2012) - Denominator,Number of Admission Continuous Inpatient Spells - Numerator,Expected value,"Indirectly age and sex standardised rate per 100,000",Lower limit of 95% confidence interval,"Upper limit 
of 95% confidence interval",Lower limit of 99.8% confidence interval,"Upper limit 
of 99.8% confidence interval"
,,,,,,,,,
E09000001,City of London,7604,333,647.74,4536.3,4062.09,5050.67,3806.62,5358.37
E09000002,Barking and Dagenham,190560,16717,15464.69,9538.33,9394.28,9684.04,9311.99,9768.51
E09000003,Barnet,363956,25581,31234.37,7226.7,7138.41,7315.82,7087.88,7367.42
E09000004,Bexley,234271,19427,20977.94,8171.44,8056.93,8287.17,7991.47,8354.23
E09000005,Brent,314660,25412,25035.61,8956.45,8846.67,9067.26,8783.83,9131.44
E09000006,Bromley,314036,24307,28720.53,7467.83,7374.24,7562.31,7320.69,7617.03
E09000007,Camden,224962,15359,18017.23,7521.95,7403.45,7641.87,7335.78,7711.4
E09000008,Croydon,368886,32638,30637.99,9399.8,9298.1,9502.34,9239.84,9561.7
E09000009,Ealing,340671,32626,27424.57,10497.34,10383.74,10611.88,10318.67,10678.18
E09000010,Enfield,317287,21885,26392.71,7316.75,7220.12,7414.34,7164.86,7470.87
E09000011,Greenwich,260068,20515,20794.01,8705.4,8586.67,8825.35,8518.79,8894.86
E09000012,Hackney,252119,7386,18525.18,3518.05,3438.27,3599.22,3392.91,3646.4
E09000013,Hammersmith and Fulham,179850,16794,13873.18,10681.53,10520.58,10844.33,10428.63,10938.7
E09000014,Haringey,258912,17796,19634.47,7997.58,7880.5,8115.96,7813.6,8184.58
E09000015,Harrow,242377,19171,20834.93,8119.1,8004.57,8234.86,7939.1,8301.95
E09000016,Havering,239733,21106,22308.3,8348.24,8235.98,8461.64,8171.79,8527.34
E09000017,Hillingdon,281756,25798,23687.26,9610.07,9493.15,9728.07,9426.24,9796.4
E09000018,Hounslow,259052,21938,20792.38,9309.97,9187.17,9434,9116.94,9505.85
E09000019,Islington,211047,15531,15984.95,8573.21,8438.9,8709.13,8362.2,8787.93
E09000020,Kensington and Chelsea,155930,11197,12858.9,7683.4,7541.73,7827.06,7460.97,7910.43
E09000021,Kingston upon Thames,163906,10665,13872.09,6783.82,6655.67,6913.82,6582.64,6989.28
E09000022,Lambeth,310200,23989,23101.18,9162.91,9047.32,9279.61,8981.18,9347.2
E09000023,Lewisham,281556,23596,22100.41,9420.92,9301.09,9541.91,9232.54,9611.99
E09000024,Merton,202225,14628,16695.87,7730.92,7606.14,7857.24,7534.9,7930.49
E09000025,Newham,314084,10474,23134.46,3994.92,3918.78,4072.18,3875.38,4117.03
E09000026,Redbridge,284617,23647,23601.75,8840.71,8728.38,8954.12,8664.12,9019.81
E09000027,Richmond upon Thames,189145,12511,16410.26,6727.16,6609.79,6846.09,6542.84,6915.1
E09000028,Southwark,293530,23999,22108.81,9578.19,9457.38,9700.15,9388.26,9770.79
E09000029,Sutton,193630,14245,16854.85,7457.5,7335.53,7580.99,7265.9,7652.6
E09000030,Tower Hamlets,263003,9587,19000.32,4452.23,4363.54,4542.26,4313.03,4594.54
E09000031,Waltham Forest,262566,23891,20914.64,10079.51,9952.09,10208.14,9879.19,10282.65
E09000032,Wandsworth,308312,21685,23911.21,8002.27,7896.11,8109.5,7835.4,8171.63
E09000033,Westminster,223858,15624,17979.87,7667.63,7547.86,7788.82,7479.46,7859.09
,,,,,,,,,
E13000001,Inner London,3284967,213350,250877.9,7503.88,7472.07,7535.79,7453.77,7554.21
E13000002,Outer London,5023402,406708,422654.77,8490.87,8464.8,8517.01,8449.79,8532.1
,,,,,,,,,
E12000001,North East,2602310,307501,236364.56,11479.41,11438.87,11520.06,11415.55,11543.53
E12000002,North West,7084337,799946,635304.65,11110.51,11086.18,11134.89,11072.16,11148.95
E12000003,Yorkshire and the Humber,5316691,543309,477181.63,10046.59,10019.89,10073.34,10004.52,10088.78
E12000004,East Midlands,4567731,414648,413354.15,8851.42,8824.49,8878.4,8809,8893.98
E12000005,West Midlands,5642569,563060,509017.8,9760.61,9735.14,9786.14,9720.47,9800.88
E12000006,East of England,5907348,496785,543532.35,8064.89,8042.48,8087.35,8029.58,8100.31
E12000007,London,8308369,620058,673532.67,8123.24,8103.03,8143.48,8091.4,8155.17
E12000008,South East,8724737,688218,799758.03,7593.17,7575.24,7611.13,7564.91,7621.49
E12000009,South West,5339637,458327,511708.86,7903.29,7880.43,7926.21,7867.26,7939.43
,,,,,,,,,
,,,,,,,,,
E92000001,England,53493729,4891852,4799754.71,8993.11,8985.14,9001.08,8980.55,9005.68
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
