Code,Area,Resident Population (2006) - Denominator,Number of Admission Continuous Inpatient Spells - Numerator,Expected value,"Indirectly age and sex standardised rate per 100,000",Lower limit of 95% confidence interval,"Upper limit 
of 95% confidence interval",Lower limit of 99.8% confidence interval,"Upper limit 
of 99.8% confidence interval"
,,,,,,,,,
E09000001,City of London,7254,503,607.01,7311.81,6686.68,7979.64,6345.5,8376.48
E09000002,Barking and Dagenham,167157,16855,14070.01,10570.36,10411.38,10731.17,10320.55,10824.39
E09000003,Barnet,330801,24646,28314.67,7680.52,7584.92,7777.01,7530.22,7832.9
E09000004,Bexley,223280,14683,19460.74,6657.49,6550.24,6766.07,6489,6829.03
E09000005,Brent,276504,21260,21955.77,8544.17,8429.7,8659.81,8364.23,8726.81
E09000006,Bromley,300963,22920,27117.95,7457.84,7361.6,7555.03,7306.54,7611.33
E09000007,Camden,211032,16849,16551.52,8982.38,8847.26,9119.06,8770.06,9198.28
E09000008,Croydon,340449,26135,27879.46,8271.68,8171.69,8372.58,8114.47,8431.01
E09000009,Ealing,315329,26175,25068.06,9213.43,9102.15,9325.74,9038.45,9390.77
E09000010,Enfield,287429,23716,23964.9,8732.15,8621.37,8844.01,8557.98,8908.8
E09000011,Greenwich,233990,17618,19044.26,8162.97,8042.87,8284.41,7974.24,8354.8
E09000012,Hackney,220193,7260,16599.75,3859.14,3770.87,3948.95,3720.69,4001.16
E09000013,Hammersmith and Fulham,174675,15861,13522.05,10350.07,10189.61,10512.42,10097.97,10606.55
E09000014,Haringey,233174,17350,17716.09,8641.46,8513.35,8771.02,8440.14,8846.12
E09000015,Harrow,223632,15745,18915.1,7344.96,7230.67,7460.6,7165.4,7527.65
E09000016,Havering,228198,18974,20495.37,8168.8,8052.98,8285.88,7986.77,8353.73
E09000017,Hillingdon,254387,21803,21259.97,9049.18,8929.45,9170.1,8860.98,9240.16
E09000018,Hounslow,228126,12886,18073.1,6291.31,6183.14,6400.89,6121.43,6464.46
E09000019,Islington,185283,15411,14137.87,9618.38,9467.12,9771.46,9380.73,9860.22
E09000020,Kensington and Chelsea,165245,10574,13463.36,6930.13,6798.66,7063.5,6723.73,7140.92
E09000021,Kingston upon Thames,153667,9891,12847.99,6792.98,6659.76,6928.2,6583.87,7006.71
E09000022,Lambeth,280524,21870,21153.04,9122.87,9002.36,9244.59,8933.43,9315.11
E09000023,Lewisham,257976,23377,20301.17,10160.69,10030.85,10291.79,9956.56,10367.72
E09000024,Merton,192520,11260,15877.1,6257.81,6142.75,6374.49,6077.16,6442.2
E09000025,Newham,257994,16028,19385.61,7295.5,7182.99,7409.34,7118.72,7475.34
E09000026,Redbridge,255590,21512,21291.64,8915.12,8796.37,9035.06,8728.46,9104.55
E09000027,Richmond upon Thames,182520,9469,15419.6,5418.59,5309.99,5528.85,5248.14,5592.88
E09000028,Southwark,267553,22003,20532.44,9455.77,9331.23,9581.55,9260,9654.42
E09000029,Sutton,182882,6707,15606.08,3792.19,3701.97,3884.05,3650.71,3937.47
E09000030,Tower Hamlets,218400,18948,16179.33,10333.76,10187.14,10481.96,10103.32,10567.85
E09000031,Waltham Forest,230731,20993,18484.58,10021.21,9886.1,10157.71,9808.84,10236.79
E09000032,Wandsworth,287538,20139,22452.86,7914.47,7805.53,8024.54,7743.24,8088.33
E09000033,Westminster,222829,16247,17728.55,8086.4,7962.53,8211.72,7891.77,8284.37
,,,,,,,,,
E13000001,Inner London,2989670,222420,230330.68,8520.74,8485.37,8556.23,8465.02,8576.72
E13000002,Outer London,4608155,343248,385146.37,7863.89,7837.61,7890.25,7822.48,7905.46
,,,,,,,,,
E12000001,North East,2552568,284340,224443.3,11178.58,11137.53,11219.75,11113.91,11243.52
E12000002,North West,6901585,739350,601855.8,10839.6,10814.9,10864.33,10800.68,10878.61
E12000003,Yorkshire and the Humber,5134016,500609,449532.01,9826.38,9799.18,9853.64,9783.52,9869.37
E12000004,East Midlands,4366676,372562,383104.52,8580.98,8553.44,8608.58,8537.6,8624.51
E12000005,West Midlands,5415521,481518,474672.46,8951.05,8925.78,8976.37,8911.24,8990.98
E12000006,East of England,5606294,414589,499582.47,7322.61,7300.34,7344.94,7287.52,7357.82
E12000007,London,7597825,565668,615477.04,8109.71,8088.59,8130.87,8076.43,8143.08
E12000008,South East,8270861,622333,737511.5,7445.77,7427.28,7464.29,7416.64,7474.98
E12000009,South West,5119840,421250,476421,7801.97,7778.43,7825.57,7764.88,7839.19
,,,,,,,,,
,,,,,,,,,
E92000001,England,50965186,4402219,4462600.1,8704.41,8696.28,8712.54,8691.59,8717.23
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
