,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LAEI Emissions - PM2.5 Summary by Zone (tonnes/year),,,,,,,,,,LAEI Emissions - PM2.5 Summary by Zone (tonnes/year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,2016,,,,,,,,,Year,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sum of PM2.5 Emissions tpa,Zone,,,,,,,,,Sum of PM2.5 Emissions tpa,Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Greater London,,,Greater London Total,External,LAEI (Grand Total),,,,Source,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City,City of Westminster,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Non GLA,
,Construction,,,,,,,,,,Construction / Demolition Dust, 	9.3 , 	18.3 , 	10.4 , 	6.3 , 	13.2 , 	3.7 , 	1.2 , 	8.0 , 	8.3 , 	8.9 , 	9.7 , 	13.0 , 	5.1 , 	3.0 , 	5.7 , 	8.4 , 	8.2 , 	17.5 , 	5.7 , 	3.0 , 	1.5 , 	3.8 , 	8.8 , 	6.2 , 	3.3 , 	9.6 , 	3.6 , 	4.6 , 	7.2 , 	4.6 , 	7.0 , 	4.4 , 	5.7 , 	-   ,
,Construction / Demolition Dust, 	10.0 , 	65.8 , 	161.8 , 	237.6 , 	-   , 	237.6 ,,,,NRMM Exhaust, 	13.1 , 	25.9 , 	14.7 , 	8.9 , 	18.7 , 	5.3 , 	1.7 , 	11.3 , 	11.8 , 	12.6 , 	13.7 , 	18.5 , 	7.2 , 	4.2 , 	8.1 , 	11.8 , 	11.6 , 	24.8 , 	8.0 , 	4.3 , 	2.2 , 	5.4 , 	12.4 , 	8.8 , 	4.7 , 	13.6 , 	5.1 , 	6.6 , 	10.1 , 	6.5 , 	9.9 , 	6.3 , 	8.1 , 	-   ,
,NRMM Exhaust, 	14.2 , 	93.0 , 	228.8 , 	336.1 , 	-   , 	336.1 ,,,,Cooking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cooking,,,,,,,,,,Cooking, 	3.9 , 	12.0 , 	7.0 , 	10.7 , 	11.0 , 	42.2 , 	24.3 , 	96.0 , 	10.7 , 	11.1 , 	8.7 , 	10.0 , 	20.3 , 	14.4 , 	7.1 , 	6.9 , 	8.2 , 	16.0 , 	8.3 , 	20.1 , 	22.0 , 	8.7 , 	20.3 , 	6.0 , 	6.8 , 	10.3 , 	7.1 , 	9.0 , 	18.6 , 	5.3 , 	17.2 , 	6.4 , 	15.5 , 	45.9 ,
,Cooking, 	123.8 , 	210.4 , 	167.7 , 	502.0 , 	45.9 , 	547.8 ,,,,Gas Leakage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas Leakage,,,,,,,,,,Gas Leakage, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,
,Gas Leakage, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,Heat and Power Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heat and Power Generation,,,,,,,,,,Gas Combustion, 	0.7 , 	1.4 , 	0.8 , 	1.4 , 	1.0 , 	3.7 , 	2.0 , 	6.3 , 	1.2 , 	1.8 , 	1.2 , 	0.9 , 	0.8 , 	1.4 , 	0.9 , 	0.6 , 	0.6 , 	1.7 , 	1.5 , 	1.7 , 	2.2 , 	0.6 , 	1.6 , 	0.9 , 	0.8 , 	1.1 , 	0.6 , 	0.8 , 	2.3 , 	0.6 , 	1.6 , 	0.7 , 	1.5 , 	5.0 ,
,Gas Combustion, 	9.3 , 	18.7 , 	18.8 , 	46.8 , 	5.0 , 	51.7 ,,,,Oil/Coal Combustion, 	6.7 , 	4.4 , 	6.6 , 	5.2 , 	4.6 , 	4.5 , 	3.5 , 	18.9 , 	2.1 , 	6.2 , 	5.5 , 	4.7 , 	1.9 , 	2.3 , 	1.7 , 	1.3 , 	4.2 , 	30.1 , 	4.4 , 	1.9 , 	0.6 , 	2.5 , 	1.1 , 	0.7 , 	2.3 , 	8.6 , 	2.4 , 	1.6 , 	2.3 , 	1.8 , 	6.1 , 	2.2 , 	1.4 , 	38.3 ,
,Oil/Coal Combustion, 	11.0 , 	44.5 , 	98.9 , 	154.4 , 	38.3 , 	192.7 ,,,,Industrial Processes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industrial Processes,,,,,,,,,,NRMM Exhaust, 	0.6 , 	0.7 , 	0.5 , 	0.5 , 	1.0 , 	0.2 , 	0.0 , 	0.1 , 	0.2 , 	1.4 , 	0.5 , 	0.7 , 	0.1 , 	0.1 , 	0.3 , 	0.6 , 	0.6 , 	1.2 , 	0.3 , 	0.1 , 	0.2 , 	0.2 , 	0.2 , 	0.5 , 	0.2 , 	0.4 , 	0.3 , 	0.7 , 	0.2 , 	0.9 , 	0.8 , 	0.2 , 	0.6 , 	5.9 ,
,NRMM Exhaust, 	0.1 , 	3.7 , 	11.4 , 	15.2 , 	5.9 , 	21.1 ,,,,Part A1, 	-   , 	-   , 	13.8 , 	0.1 , 	-   , 	-   , 	-   , 	-   , 	0.1 , 	0.0 , 	6.0 , 	0.1 , 	-   , 	-   , 	-   , 	0.3 , 	0.0 , 	0.9 , 	-   , 	-   , 	-   , 	-   , 	-   , 	2.8 , 	-   , 	14.0 , 	-   , 	-   , 	-   , 	3.8 , 	23.0 , 	-   , 	-   , 	4.0 ,
,Part A1, 	-   , 	39.8 , 	25.0 , 	64.8 , 	4.0 , 	68.9 ,,,,Part A2 / B, 	13.3 , 	4.4 , 	11.6 , 	8.3 , 	2.7 , 	0.3 , 	-   , 	-   , 	4.0 , 	8.0 , 	13.4 , 	17.0 , 	1.2 , 	2.1 , 	-   , 	0.1 , 	4.3 , 	12.9 , 	6.9 , 	1.2 , 	0.3 , 	2.0 , 	0.7 , 	0.7 , 	6.5 , 	7.1 , 	3.5 , 	1.8 , 	1.3 , 	8.7 , 	3.7 , 	0.3 , 	9.5 , 	0.1 ,
,Part A2 / B, 	-   , 	28.1 , 	129.9 , 	158.0 , 	0.1 , 	158.1 ,,,,Waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Waste,,,,,,,,,,Landfill, 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	-   , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	-   , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.0 , 	0.1 ,
,Landfill, 	0.0 , 	0.0 , 	0.1 , 	0.1 , 	0.1 , 	0.1 ,,,,Small Scale Waste Burning, 	1.0 , 	5.9 , 	3.2 , 	2.9 , 	7.3 , 	0.4 , 	0.0 , 	0.3 , 	4.5 , 	3.5 , 	4.5 , 	1.7 , 	0.1 , 	0.1 , 	1.0 , 	4.2 , 	4.4 , 	6.1 , 	2.5 , 	0.1 , 	0.1 , 	1.8 , 	0.4 , 	0.9 , 	1.5 , 	0.3 , 	1.9 , 	1.9 , 	0.4 , 	3.4 , 	0.1 , 	0.8 , 	0.6 , 	30.8 ,
,Small Scale Waste Burning, 	0.2 , 	4.8 , 	63.1 , 	68.1 , 	30.8 , 	98.9 ,,,,STW, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,
